xx,xy,xz,yx,yy,yz,zx,zy,zz
5.660211,0.000000,0.001213,0.000000,5.640848,0.000000,0.008982,0.000000,40.815667
5.558019,0.000000,0.003710,0.000000,5.538005,0.000000,0.026855,0.000000,40.675279
5.529671,0.000000,0.003592,0.000000,5.513060,0.000000,0.025776,0.000000,40.797038
5.516743,0.000000,0.003332,0.000000,5.502265,0.000000,0.023739,0.000000,40.895221
5.524379,0.000000,0.003255,0.000000,5.510483,0.000000,0.023309,0.000000,40.935798
5.494866,0.000000,0.000281,0.000000,5.480294,0.000000,0.002734,0.000000,41.026379
5.504696,0.000000,0.000693,0.000000,5.491078,0.000000,0.004657,0.000000,41.074147
5.533164,0.000000,0.002972,0.000000,5.520052,0.000000,0.023892,0.000000,40.982093
5.494894,0.000000,0.003332,0.000000,5.482921,0.000000,0.022470,0.000000,41.030595
5.507789,0.000000,0.001451,0.000000,5.496657,0.000000,0.007373,0.000000,40.969556
5.508484,0.000000,0.002818,0.000000,5.495864,0.000000,0.020190,0.000000,41.064201
5.484155,0.000000,0.005068,0.000000,5.466186,0.000000,0.047494,0.000000,41.730241
5.499276,0.000000,0.005421,0.000000,5.482323,0.000000,0.048339,0.000000,41.460480
5.501049,0.000000,0.007097,0.000000,5.484803,0.000000,0.060857,0.000000,41.477549
5.499626,0.000000,0.007174,0.000000,5.483442,0.000000,0.061479,0.000000,41.496221
5.496833,0.000000,0.007560,0.000000,5.480774,0.000000,0.064378,0.000000,41.513700
5.497007,0.000000,0.007761,0.000000,5.480975,0.000000,0.065898,0.000000,41.520912
5.495288,0.000000,0.008435,0.000000,5.479545,0.000000,0.070900,0.000000,41.573192
5.495073,0.000000,0.008476,0.000000,5.479155,0.000000,0.071250,0.000000,41.541972
5.494269,0.000000,0.008749,0.000000,5.478380,0.000000,0.073294,0.000000,41.552391
5.493594,0.000000,0.009812,0.000000,5.477810,0.000000,0.081284,0.000000,41.577761
5.493270,0.000000,0.009492,0.000000,5.477487,0.000000,0.078875,0.000000,41.569592
5.492615,0.000000,0.009926,0.000000,5.476860,0.000000,0.082144,0.000000,41.574216
5.492363,0.000000,0.010307,0.000000,5.476705,0.000000,0.085003,0.000000,41.587585
5.491914,0.000000,0.010517,0.000000,5.476257,0.000000,0.086594,0.000000,41.581701
5.491553,0.000000,0.010793,0.000000,5.475951,0.000000,0.088678,0.000000,41.584967
5.491708,0.000000,0.011029,0.000000,5.476225,0.000000,0.090438,0.000000,41.600541
5.491307,0.000000,0.011251,0.000000,5.475820,0.000000,0.092125,0.000000,41.592429
5.490413,0.000000,0.011468,0.000000,5.474942,0.000000,0.093756,0.000000,41.594186
5.490702,0.000000,0.011560,0.000000,5.475263,0.000000,0.094453,0.000000,41.596003
5.489827,0.000000,0.011120,0.000000,5.474368,0.000000,0.091119,0.000000,41.589998
5.491916,0.000000,0.011671,0.000000,5.476538,0.000000,0.095306,0.000000,41.598593
5.490214,0.000000,0.011596,0.000000,5.474824,0.000000,0.094725,0.000000,41.593002
5.490613,0.000000,0.011615,0.000000,5.475203,0.000000,0.094863,0.000000,41.596352
5.489977,0.000000,0.011927,0.000000,5.474528,0.000000,0.097206,0.000000,41.602192
5.491110,0.000000,0.012161,0.000000,5.475798,0.000000,0.098988,0.000000,41.607020
5.489666,0.000000,0.012394,0.000000,5.474416,0.000000,0.100733,0.000000,41.604702
5.489398,0.000000,0.012600,0.000000,5.474217,0.000000,0.102292,0.000000,41.606286
5.489500,0.000000,0.012546,0.000000,5.474309,0.000000,0.101892,0.000000,41.603949
5.489506,0.000000,0.012425,0.000000,5.474276,0.000000,0.100972,0.000000,41.603047
5.489920,0.000000,0.012596,0.000000,5.474749,0.000000,0.102273,0.000000,41.604790
5.490249,0.000000,0.012530,0.000000,5.475049,0.000000,0.101781,0.000000,41.605203
5.488625,0.000000,0.012686,0.000000,5.473390,0.000000,0.102923,0.000000,41.607708
5.489766,0.000000,0.013048,0.000000,5.474720,0.000000,0.105690,0.000000,41.608881
5.489990,0.000000,0.013343,0.000000,5.475048,0.000000,0.107918,0.000000,41.613467
5.488571,0.000000,0.013706,0.000000,5.473769,0.000000,0.110639,0.000000,41.614176
5.484878,0.000000,0.016104,0.000000,5.471131,0.000000,0.128701,0.000000,41.635013
5.488587,0.000000,0.015027,0.000000,5.474369,0.000000,0.120604,0.000000,41.638619
5.487985,0.000000,0.014607,0.000000,5.473567,0.000000,0.117443,0.000000,41.624694
5.487494,0.000000,0.014913,0.000000,5.473192,0.000000,0.119745,0.000000,41.627215
5.488039,0.000000,0.015318,0.000000,5.473927,0.000000,0.122825,0.000000,41.629447
5.487993,0.000000,0.015240,0.000000,5.473850,0.000000,0.122234,0.000000,41.629868
5.486338,0.000000,0.015272,0.000000,5.472227,0.000000,0.122444,0.000000,41.628346
5.487009,0.000000,0.015405,0.000000,5.472976,0.000000,0.123466,0.000000,41.629718
5.486781,0.000000,0.015322,0.000000,5.472713,0.000000,0.122833,0.000000,41.629040
5.486555,0.000000,0.015273,0.000000,5.472591,0.000000,0.122451,0.000000,41.629362
5.487721,0.000000,0.015561,0.000000,5.473731,0.000000,0.124655,0.000000,41.632400
5.487812,0.000000,0.015831,0.000000,5.473756,0.000000,0.126706,0.000000,41.633276
5.486878,0.000000,0.016186,0.000000,5.473043,0.000000,0.129378,0.000000,41.633180
5.486654,0.000000,0.016294,0.000000,5.472904,0.000000,0.130190,0.000000,41.633659
5.486463,0.000000,0.016458,0.000000,5.472940,0.000000,0.131426,0.000000,41.637152
5.486348,0.000000,0.016615,0.000000,5.473128,0.000000,0.132589,0.000000,41.645915
5.486137,0.000000,0.016674,0.000000,5.472873,0.000000,0.133047,0.000000,41.641786
5.486093,0.000000,0.016879,0.000000,5.472886,0.000000,0.134598,0.000000,41.642861
5.487717,0.000000,0.015798,0.000000,5.473745,0.000000,0.126435,0.000000,41.640827
5.485707,0.000000,0.017124,0.000000,5.472670,0.000000,0.136446,0.000000,41.642948
5.485711,0.000000,0.017015,0.000000,5.472626,0.000000,0.135626,0.000000,41.642028
5.485584,0.000000,0.017196,0.000000,5.472666,0.000000,0.136991,0.000000,41.643660
5.485551,0.000000,0.017276,0.000000,5.472698,0.000000,0.137596,0.000000,41.644078
5.485685,0.000000,0.017070,0.000000,5.472699,0.000000,0.136043,0.000000,41.642054
5.487040,0.000000,0.015602,0.000000,5.473054,0.000000,0.124958,0.000000,41.630874
5.485536,0.000000,0.017453,0.000000,5.472808,0.000000,0.138929,0.000000,41.646522
5.485306,0.000000,0.017463,0.000000,5.472584,0.000000,0.139008,0.000000,41.644460
5.485052,0.000000,0.017749,0.000000,5.472567,0.000000,0.141169,0.000000,41.645580
5.485052,0.000000,0.017851,0.000000,5.472664,0.000000,0.141931,0.000000,41.649603
5.484527,0.000000,0.018063,0.000000,5.472342,0.000000,0.143530,0.000000,41.650285
5.484340,0.000000,0.018093,0.000000,5.472180,0.000000,0.143759,0.000000,41.647829
5.484382,0.000000,0.018363,0.000000,5.472503,0.000000,0.145795,0.000000,41.653678
5.483595,0.000000,0.018511,0.000000,5.471858,0.000000,0.146887,0.000000,41.657207
5.483946,0.000000,0.018558,0.000000,5.472243,0.000000,0.147263,0.000000,41.654126
5.484949,0.000000,0.018773,0.000000,5.473440,0.000000,0.148913,0.000000,41.657532
5.483795,0.000000,0.018813,0.000000,5.472345,0.000000,0.149190,0.000000,41.655646
5.482637,0.000000,0.019028,0.000000,5.471522,0.000000,0.150784,0.000000,41.659865
5.483191,0.000000,0.019112,0.000000,5.472138,0.000000,0.151438,0.000000,41.658281
5.483618,0.000000,0.019249,0.000000,5.472741,0.000000,0.152485,0.000000,41.660844
5.482731,0.000000,0.019317,0.000000,5.471987,0.000000,0.152980,0.000000,41.661092
5.486991,0.000000,0.018888,0.000000,5.475341,0.000000,0.149855,0.000000,41.655665
5.481812,0.000000,0.019349,0.000000,5.471131,0.000000,0.153201,0.000000,41.660728
5.482910,0.000000,0.019385,0.000000,5.472201,0.000000,0.153514,0.000000,41.657872
5.482801,0.000000,0.019369,0.000000,5.472052,0.000000,0.153384,0.000000,41.658827
5.481948,0.000000,0.019514,0.000000,5.471430,0.000000,0.154456,0.000000,41.660288
5.482099,0.000000,0.019447,0.000000,5.471439,0.000000,0.153959,0.000000,41.659668
5.483065,0.000000,0.019592,0.000000,5.472630,0.000000,0.155076,0.000000,41.661727
5.482879,0.000000,0.019607,0.000000,5.472492,0.000000,0.155186,0.000000,41.663053
5.480807,0.000000,0.019709,0.000000,5.470731,0.000000,0.155907,0.000000,41.662064
5.481137,0.000000,0.019698,0.000000,5.471045,0.000000,0.155813,0.000000,41.666940
5.481478,0.000000,0.019746,0.000000,5.471435,0.000000,0.156195,0.000000,41.664884
5.482859,0.000000,0.019907,0.000000,5.473045,0.000000,0.157440,0.000000,41.669403
5.481464,0.000000,0.019898,0.000000,5.471709,0.000000,0.157334,0.000000,41.668770
5.479429,0.000000,0.020000,0.000000,5.470132,0.000000,0.158055,0.000000,41.669982
5.480300,0.000000,0.019990,0.000000,5.470916,0.000000,0.157997,0.000000,41.671153
5.482159,0.000000,0.020050,0.000000,5.472764,0.000000,0.158483,0.000000,41.677986
5.481224,0.000000,0.020083,0.000000,5.471982,0.000000,0.158720,0.000000,41.673700
5.479995,0.000000,0.020128,0.000000,5.471025,0.000000,0.159030,0.000000,41.674060
5.480293,0.000000,0.020172,0.000000,5.471522,0.000000,0.159368,0.000000,41.675479
5.480267,0.000000,0.020164,0.000000,5.471426,0.000000,0.159306,0.000000,41.674625
5.479870,0.000000,0.020131,0.000000,5.470569,0.000000,0.159048,0.000000,41.673023
5.480343,0.000000,0.020193,0.000000,5.471594,0.000000,0.159527,0.000000,41.675386
5.479626,0.000000,0.020180,0.000000,5.471038,0.000000,0.159411,0.000000,41.675086
5.479552,0.000000,0.020175,0.000000,5.470862,0.000000,0.159378,0.000000,41.673813
5.483372,0.000000,0.020390,0.000000,5.473107,0.000000,0.161136,0.000000,41.669295
5.479032,0.000000,0.020154,0.000000,5.470827,0.000000,0.159186,0.000000,41.677782
5.479959,0.000000,0.020174,0.000000,5.471605,0.000000,0.159371,0.000000,41.677188
5.480059,0.000000,0.020178,0.000000,5.471568,0.000000,0.159398,0.000000,41.677417
5.479673,0.000000,0.020175,0.000000,5.471184,0.000000,0.159368,0.000000,41.677290
5.479651,0.000000,0.020167,0.000000,5.471435,0.000000,0.159307,0.000000,41.678007
5.479661,0.000000,0.020153,0.000000,5.471641,0.000000,0.159191,0.000000,41.680898
5.478180,0.000000,0.019988,0.000000,5.470513,0.000000,0.157872,0.000000,41.687308
5.478475,0.000000,0.019972,0.000000,5.471092,0.000000,0.157751,0.000000,41.690031
5.479184,0.000000,0.020022,0.000000,5.471756,0.000000,0.158145,0.000000,41.690143
5.478936,0.000000,0.020006,0.000000,5.471449,0.000000,0.158026,0.000000,41.688059
5.477544,0.000000,0.019889,0.000000,5.470209,0.000000,0.157103,0.000000,41.685551
5.478251,0.000000,0.019873,0.000000,5.471016,0.000000,0.156990,0.000000,41.689393
5.478871,0.000000,0.019776,0.000000,5.471869,0.000000,0.156248,0.000000,41.695905
5.477933,0.000000,0.019741,0.000000,5.470952,0.000000,0.155974,0.000000,41.691520
5.477079,0.000000,0.019667,0.000000,5.470211,0.000000,0.155381,0.000000,41.692260
5.477394,0.000000,0.019623,0.000000,5.470639,0.000000,0.155042,0.000000,41.695968
5.477673,0.000000,0.019571,0.000000,5.470990,0.000000,0.154651,0.000000,41.696259
5.477835,0.000000,0.019470,0.000000,5.471266,0.000000,0.153876,0.000000,41.699879
5.476845,0.000000,0.019285,0.000000,5.470390,0.000000,0.152448,0.000000,41.699164
5.477189,0.000000,0.019306,0.000000,5.470760,0.000000,0.152614,0.000000,41.698922
5.477291,0.000000,0.019306,0.000000,5.470871,0.000000,0.152611,0.000000,41.700414
5.476802,0.000000,0.019265,0.000000,5.470435,0.000000,0.152289,0.000000,41.700721
5.476577,0.000000,0.019059,0.000000,5.470447,0.000000,0.150706,0.000000,41.702200
5.476886,0.000000,0.019055,0.000000,5.470778,0.000000,0.150673,0.000000,41.705262
5.476440,0.000000,0.019013,0.000000,5.470352,0.000000,0.150348,0.000000,41.704640
5.476655,0.000000,0.018955,0.000000,5.470625,0.000000,0.149906,0.000000,41.705226
5.476754,0.000000,0.018783,0.000000,5.470857,0.000000,0.148600,0.000000,41.705099
5.476323,0.000000,0.018661,0.000000,5.470486,0.000000,0.147659,0.000000,41.706513
5.476041,0.000000,0.018587,0.000000,5.470266,0.000000,0.147092,0.000000,41.705482
5.476366,0.000000,0.018601,0.000000,5.470655,0.000000,0.147206,0.000000,41.706143
5.475954,0.000000,0.018576,0.000000,5.470244,0.000000,0.146998,0.000000,41.706705
5.475902,0.000000,0.018569,0.000000,5.470241,0.000000,0.146946,0.000000,41.707661
5.476102,0.000000,0.018506,0.000000,5.470510,0.000000,0.146462,0.000000,41.709292
5.476006,0.000000,0.018330,0.000000,5.470510,0.000000,0.145119,0.000000,41.710408
5.475528,0.000000,0.018117,0.000000,5.470120,0.000000,0.143485,0.000000,41.708683
5.475619,0.000000,0.018137,0.000000,5.470218,0.000000,0.143636,0.000000,41.710123
5.475643,0.000000,0.018155,0.000000,5.470245,0.000000,0.143774,0.000000,41.710198
5.475870,0.000000,0.018236,0.000000,5.470471,0.000000,0.144396,0.000000,41.712087
5.475750,0.000000,0.018231,0.000000,5.470354,0.000000,0.144355,0.000000,41.710939
5.475522,0.000000,0.018187,0.000000,5.470146,0.000000,0.144015,0.000000,41.710436
5.475379,0.000000,0.018179,0.000000,5.470003,0.000000,0.143955,0.000000,41.709656
5.475732,0.000000,0.018158,0.000000,5.470383,0.000000,0.143804,0.000000,41.710275
5.475667,0.000000,0.018106,0.000000,5.470357,0.000000,0.143406,0.000000,41.709437
5.475759,0.000000,0.018070,0.000000,5.470464,0.000000,0.143130,0.000000,41.711329
5.475244,0.000000,0.018005,0.000000,5.469991,0.000000,0.142624,0.000000,41.710971
5.475297,0.000000,0.017980,0.000000,5.470086,0.000000,0.142436,0.000000,41.711141
5.475428,0.000000,0.017969,0.000000,5.470236,0.000000,0.142349,0.000000,41.712092
5.475723,0.000000,0.017938,0.000000,5.470569,0.000000,0.142117,0.000000,41.714055
5.475489,0.000000,0.017913,0.000000,5.470338,0.000000,0.141915,0.000000,41.714138
5.475234,0.000000,0.017907,0.000000,5.470100,0.000000,0.141871,0.000000,41.712500
5.475106,0.000000,0.017820,0.000000,5.469947,0.000000,0.141197,0.000000,41.715451
5.474860,0.000000,0.017845,0.000000,5.469751,0.000000,0.141383,0.000000,41.713869
5.475196,0.000000,0.017834,0.000000,5.470126,0.000000,0.141308,0.000000,41.714892
5.475254,0.000000,0.017824,0.000000,5.470196,0.000000,0.141234,0.000000,41.714687
5.475234,0.000000,0.017810,0.000000,5.470196,0.000000,0.141129,0.000000,41.713393
5.475289,0.000000,0.017808,0.000000,5.470215,0.000000,0.141115,0.000000,41.713848
5.475035,0.000000,0.017791,0.000000,5.469987,0.000000,0.140988,0.000000,41.712107
5.474996,0.000000,0.017760,0.000000,5.470001,0.000000,0.140754,0.000000,41.711625
5.475128,0.000000,0.017715,0.000000,5.470210,0.000000,0.140410,0.000000,41.712069
5.475074,0.000000,0.017678,0.000000,5.470189,0.000000,0.140127,0.000000,41.712043
5.475100,0.000000,0.017653,0.000000,5.470232,0.000000,0.139931,0.000000,41.712940
5.475015,0.000000,0.017631,0.000000,5.470153,0.000000,0.139765,0.000000,41.712666
5.474734,0.000000,0.017607,0.000000,5.469881,0.000000,0.139575,0.000000,41.712607
5.474725,0.000000,0.017606,0.000000,5.469872,0.000000,0.139571,0.000000,41.712633
5.475023,0.000000,0.017649,0.000000,5.470150,0.000000,0.139906,0.000000,41.712474
5.474670,0.000000,0.017583,0.000000,5.469867,0.000000,0.139389,0.000000,41.712978
5.474541,0.000000,0.017539,0.000000,5.469818,0.000000,0.139045,0.000000,41.715703
5.474634,0.000000,0.017547,0.000000,5.469900,0.000000,0.139111,0.000000,41.713974
5.475189,0.000000,0.017550,0.000000,5.470442,0.000000,0.139148,0.000000,41.714943
5.475137,0.000000,0.017550,0.000000,5.470350,0.000000,0.139143,0.000000,41.715197
5.474838,0.000000,0.017538,0.000000,5.470029,0.000000,0.139053,0.000000,41.713706
5.475048,0.000000,0.017507,0.000000,5.470257,0.000000,0.138824,0.000000,41.711817
5.474817,0.000000,0.017502,0.000000,5.470037,0.000000,0.138785,0.000000,41.711869
5.474508,0.000000,0.017489,0.000000,5.469787,0.000000,0.138678,0.000000,41.711368
5.474587,0.000000,0.017488,0.000000,5.469925,0.000000,0.138668,0.000000,41.711470
5.474801,0.000000,0.017483,0.000000,5.470175,0.000000,0.138639,0.000000,41.712659
5.474953,0.000000,0.017463,0.000000,5.470318,0.000000,0.138485,0.000000,41.714311
5.474666,0.000000,0.017426,0.000000,5.470002,0.000000,0.138191,0.000000,41.715659
5.474602,0.000000,0.017427,0.000000,5.469945,0.000000,0.138204,0.000000,41.714004
5.475106,0.000000,0.017439,0.000000,5.470455,0.000000,0.138303,0.000000,41.714342
5.474941,0.000000,0.017430,0.000000,5.470283,0.000000,0.138229,0.000000,41.713849
5.474941,0.000000,0.017430,0.000000,5.470283,0.000000,0.138229,0.000000,41.713849
